Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-05-25,160.22,331.31,-39.65,-77.97,12535.1033597,37013241.1432,195.63528972
2017-05-24,149.45,191.69,165.65,160.22,7018.7857379,19317443.2943,151.18268702
2017-05-23,66.3,-15.0,125.86,149.46,-11790.5878303,-24538561.5084,56.03968612
2017-05-22,-1.9000000000001,195.32,-13.6,66.29,11669.0519551,27257571.7935,112.23360866
2017-05-21,82.67,43.68,18.56,-1.9099999999999,4586.2016775,9992422.2954,43.8526312
2017-05-20,76.75,79.0,79.31,82.68,-5795.4880272,-10299531.3123,70.8086706
2017-05-19,86.24,80.0,90.73,77.07,7580.761367,15784085.6784,95.81516071
2017-05-18,35.74,60.0,54.95,85.93,-2422.2120639,-4006740.933,32.9963048
2017-05-17,29.68,62.24,54.91,35.75,2398.7126954,5108359.5385,67.30694448
2017-05-16,-52.17,-25.23,-12.28,29.67,1222.6544934,2089479.8377,-3.96622411
2017-05-15,8.28,-26.01,-60.91,-52.18,3385.36912976,5558591.3465,-51.75306798
2017-05-14,96.14,36.04,153.33,7.26,-5573.50861546,-8857003.0758,93.92397004
2017-05-13,-142.42,-45.04,-41.01,97.12,-4147.8100178,-7858316.9725,-47.86877626
2017-05-12,43.03,-51.0,-119.94,-142.32,801.699149,54096.162499998,-85.85959383
2017-05-11,74.71,89.01,79.65,42.94,2267.8574268,5211775.9617,77.60758612
2017-05-10,7.25,5.29,61.3,74.56,-6420.7216548,-10563689.8768,37.04647876
2017-05-09,101.89,81.7,22.0,7.4300000000001,3984.048767,8108496.4288,78.28747115
2017-05-08,25.61,94.69,44.13,103.43,4157.3500852,7466080.7622,53.57537937
2017-05-07,34.19,19.42,12.57,24.18,2369.86496666,3848107.7884,8.2796361999999
2017-05-06,-10.17,-31.11,16.19,34.09,-7520.48304626,-11927874.2765,-1.4662584799999
2017-05-05,28.47,-35.0,53.05,-12.09,-9833.0178639,-15298278.7453,10.4574622
2017-05-04,61.21,132.0,28.38,30.39,10402.2008258,17741940.0714,84.03036485
2017-05-03,35.29,40.07,27.17,61.01,4287.4209063,6723051.7016,27.91989109
2017-05-02,51.95,26.24,55.53,35.49,-4960.7168064,-6714025.1613,31.64005959
2017-05-01,19.57,72.18,36.96,51.95,6449.11748,9987506.3033,72.47564772
2017-04-30,12.02,25.01,-1.6200000000001,19.12,873.91773832,1207695.0167,2.1899643900001
2017-04-29,3.1900000000001,-11.51,35.44,12.09,-4339.21163812,-5659633.2586,15.86320775
2017-04-28,52.21,21.01,4.8099999999999,4.0799999999999,3523.5538009,4822425.4512,9.7379352200001
2017-04-27,16.38,40.0,15.89,50.82,887.34280648,1471228.1077,30.33487759
2017-04-26,24.53,33.0,23.34,17.28,1479.71287567,2112247.6643,23.31260237
2017-04-25,4.74,25.84,9.8500000000001,23.87,2211.60889558,2959694.8274,23.21262856
2017-04-24,5.1200000000001,7.1600000000001,10.11,5.3099999999999,882.73306016,1134150.94234,5.5820918299999
2017-04-23,-3.1900000000001,1.0,14.69,4.98,-1123.82170332,-1386769.70759,2.46650045
2017-04-22,13.83,-5.77,-14.64,-2.99,-521.79748761,-665043.93679,-2.3098966
2017-04-21,21.93,18.17,24.14,13.84,-1078.07992799,-1186418.10403,20.43102961
2017-04-20,12.34,25.28,20.92,21.94,1473.60972079,1960429.32691,24.3058886
2017-04-19,10.93,8.6699999999998,1.3299999999999,12.27,3.7061112700003,28973.66794,3.9102306499999
2017-04-18,13.32,9.0500000000002,18.91,12.03,-278.1572981,-226415.67966,16.34095485
2017-04-17,-1.2099999999998,7.6699999999998,-0.85000000000014,11.92,3463.54152443,4097707.89152,0.86899500000004
2017-04-16,5.7099999999998,-1.0599999999999,1171.64,-0.8599999999999,-887.47810728,-1014600.74321,8.53838692
2017-04-15,-3.9199999999998,-5.9300000000001,-1170.08,5.1099999999999,-1694.31179778,-2041967.38589,-9.6502437800002
2017-04-14,-37.63,-22.57,21.16,-3.3099999999999,-3760.2225133,-4445641.88374,0.11369703000014
2017-04-13,-9.3199999999999,-8.3699999999999,-60.63,-37.12,2932.38589528,3233851.82989,-35.96412258
2017-04-12,14.0,-6.1400000000001,9.6099999999999,-9.8199999999999,1013.06826328,1238985.08695,0.84754047000001
2017-04-11,-0.99000000000001,14.22,-1.0,13.99,-163.87817782,-165998.6997,5.94058496
2017-04-10,26.49,-1.22,25.2,-0.97000000000003,-174.90980546,-143806.14248,11.70466392
2017-04-09,432.49,463.85,423.8,455.29,4726.74857311,6157543.99657,444.418266561
2016-12-06,-15.93,-10.84,3.4,3.6799999999999,-3730.6083181,-2817036.08195,0.30285109500005
2016-12-05,1.08,-1.77,-14.23,-15.99,2063.81845618,1528489.77108,-10.910642055
2016-12-04,-2.92,-2.16,3.83,1.01,-420.16948299,-322736.71792,-0.26385608999999
2016-12-03,15.78,-8.08,5.47,-2.27,-2860.9523992,-2202726.43701,-1.681248413
2016-12-02,11.49,25.1,11.94,15.25,1850.84454097,1501526.43401,19.084773898
2016-12-01,10.07,9.9,12.42,11.31,240.2870358,220938.03254,10.372220067
2016-11-30,2.2600000000001,10.64,0.96999999999991,10.32,142.44028679,131105.23021,6.802053456
2016-11-29,0.93999999999994,-2.08,-0.79999999999995,2.6,-57.43100175,-40478.95759,0.40079772400009
2016-11-28,-6.45,-1.51,0.99000000000001,0.52999999999997,1182.23192817,860558.05992,-1.5377433860001
2016-11-27,-3.8199999999999,-2.03,2.01,-6.46,-24.11363287,-21916.68543,-1.5675171739999
2016-11-26,1.52,-0.0099999999999909,-3.0,-4.04,-451.03081112,-332876.7498,-0.50436166899999
2016-11-25,-3.52,-4.0,2.0,1.75,-314.79479717,-238296.51751,-1.992631135
2016-11-24,-5.15,-3.13,-7.0,-3.53,-154.35561759,-129613.36509,-4.370902761
2016-11-23,10.27,-1.65,7.62,-5.14,-649.88505511,-479159.81049,0.61889230700001
2016-11-22,4.67,10.3,-3.62,10.26,1291.89791858,973448.33534,5.517918356
2016-11-21,-19.05,-15.34,15.0,4.41,-1337.18137811,-979198.59005,0.912626252
2016-11-20,2.22,1.51,-23.0,-18.78,1368.41392779,963230.81546,-14.09301156
2016-11-19,18.94,1.3,9.11,2.23,-1679.9260373,-1232463.48894,5.356410404
2016-11-18,-8.46,0.99000000000001,-0.12,17.83,462.13361129,346405.2609,0.72217420200002
2016-11-17,26.15,6.21,19.01,-9.14,-2022.99939264,-1418381.53212,13.45808679
2016-11-16,3.52,27.5,38.77,27.56,1400.69044338,1120711.7582,20.813863789
2016-11-15,4.39,7.7299999999999,-23.84,3.9699999999999,-24.9408653,8968.5412000003,5.5259730270001
2016-11-14,-0.62,2.63,9.37,4.3100000000001,610.97748075,453967.10577,5.8775547309999
2016-11-13,-11.93,-11.05,-16.72,-0.51999999999998,1077.55529593,713042.03557,-12.027741634
2016-11-12,3.5599999999999,-2.0,-10.08,-12.37,-233.69520283,-187284.36888,-6.441018191
2016-11-11,-8.0,-4.62,6.66,3.99,-1077.4295176,-765446.04473,1.1385372770001
2016-11-10,9.7,-23.65,-4.2099999999999,-8.0600000000001,-7580.88791714,-5613061.60927,-16.666517585
2016-11-09,4.89,30.81,5.89,9.8200000000001,7660.71362682,5688091.27198,20.801486898
2016-11-08,-10.63,-0.87,2.8099999999999,4.73,192.73221946,146263.46187,2.2671228280001
2016-11-07,10.06,-2.51,-4.51,-10.6,1155.61108473,804237.19875,-4.467534641
2016-11-06,0.93000000000006,11.84,8.14,10.03,13.96169852,31604.1034,7.222748609
2016-11-05,16.05,-0.34000000000003,13.92,0.66999999999996,-2230.00536586,-1544217.03655,5.2719091290001
2016-11-04,-54.61,-37.83,11.74,16.32,-5102.12969227,-3705832.05557,-13.219213953
2016-11-03,13.91,1.5599999999999,-47.94,-54.6,5234.5087845,3658650.24601,-14.207439467
2016-11-02,33.63,7.1,24.26,13.9,-1812.34111182,-1285916.5782,4.578856722
2016-11-01,-0.31999999999994,27.82,14.73,33.8,2434.31491092,1864634.06525,23.70112164
2016-10-31,-16.89,-5.3000000000001,-11.03,-0.50999999999999,675.34469861,449608.84494,-5.858852769
2016-10-30,24.33,-10.66,2.65,-16.87,-2783.97661283,-2007731.61449,-7.022114794
2016-10-29,-1.0599999999999,34.45,6.1899999999999,24.33,2173.51242891,1652005.17097,23.890020695
2016-10-28,17.01,-1.2199999999999,9.6600000000001,-1.26,-2361.86720767,-1601626.93453,3.3417667819999
2016-10-27,19.7,14.41,21.03,17.21,928.35233489,741761.20186,18.214305359
2016-10-26,4.3199999999999,20.5,3.52,19.7,1028.61302107,744447.14286,12.304017544
2016-10-25,-1.0699999999999,4.5700000000001,3.1800000000001,4.3199999999999,1144.39697324,765515.95669,4.703225553
2016-10-24,-1.98,-2.87,0.4799999999999,-1.0599999999999,594.75185139,379521.32336,-2.13091062
2016-10-23,22.36,-2.2,16.01,-1.71,-1511.04495411,-949128.40634,7.6233637299999
2016-10-22,2.4799999999999,24.59,1.8200000000001,21.92,424.01467072,330033.12606,13.721244612
2016-10-21,-1.5999999999999,3.42,1.49,2.7800000000001,-7.6964165500003,1517.82137,1.5264417239999
2016-10-20,-5.33,-7.0,0.40999999999997,-1.74,-294.68202131,-196814.36916,-2.606207672
2016-10-19,-4.4399999999999,-3.01,-6.55,-5.3200000000001,338.34231015,188335.12601,-6.096705189
2016-10-18,-2.5400000000001,-3.47,-4.12,-4.4499999999999,176.56430736,103046.72521,-2.3903246460001
2016-10-17,3.9400000000001,-0.43999999999994,-1.6,-2.36,1402.59197189,891119.75486,-2.2860139209999
